"Date","HHS.Region.1..CT..ME..MA..NH..RI..VT.","HHS.Region.2..NJ..NY.","HHS.Region.3..DE..DC..MD..PA..VA..WV.","HHS.Region.4..AL..FL..GA..KY..MS..NC..SC..TN.","HHS.Region.5..IL..IN..MI..MN..OH..WI.","HHS.Region.6..AR..LA..NM..OK..TX.","HHS.Region.7..IA..KS..MO..NE.","HHS.Region.8..CO..MT..ND..SD..UT..WY.","HHS.Region.9..AZ..CA..HI..NV.","HHS.Region.10..AK..ID..OR..WA."
"9/25/11",600,1128,1937,994,1308,2276,623,554,1302,987
"10/2/11",672,1314,2046,1045,1328,2335,645,527,1307,1154
"10/9/11",688,1317,2019,1108,1388,2355,571,598,1465,1323
"10/16/11",623,1223,1957,1086,1263,2520,678,541,1360,1274
"10/23/11",682,1263,2017,1174,1258,2531,609,577,1482,1235
"10/30/11",753,1436,2153,1320,1356,2834,745,652,1571,1238
"11/6/11",813,1407,2135,1348,1338,2822,722,591,1652,1271
"11/13/11",844,1493,2284,1370,1447,2841,804,681,1723,1363
"11/20/11",764,1364,2124,1272,1400,2718,807,705,1678,1198
"11/27/11",865,1601,2376,1463,1590,3131,881,725,2010,1441
"12/4/11",916,1546,2292,1405,1642,2934,884,700,1890,1384
"12/11/11",963,1676,2492,1555,1734,3123,926,737,1854,1457
"12/18/11",1114,1919,2836,1770,2068,3351,1145,952,2148,1694
"12/25/11",1482,2258,3258,2063,2549,3561,1498,1091,2558,1992
"1/1/12",1567,2413,3308,2054,2469,3414,1388,1068,2494,1961
"1/8/12",1339,2006,2909,1818,2090,3111,1151,919,2155,1950
"1/15/12",1220,1896,2803,1816,1981,3047,1186,945,2040,1693
"1/22/12",1271,1855,2777,1826,2092,3366,1355,997,2612,1842
"1/29/12",1181,1797,2750,1808,2085,3634,1558,1099,2642,1865
"2/5/12",994,1604,2578,1670,1908,3608,1460,982,2496,1807
"2/12/12",1091,1614,2518,1858,2057,4110,1658,1130,2437,2046
"2/19/12",1030,1691,2578,1943,2266,4779,2032,1260,2829,2167
"2/26/12",856,1514,2279,1741,2122,4895,2012,1179,2485,1975
"3/4/12",799,1520,2364,1713,2325,4964,2098,1248,2521,2177
"3/11/12",788,1546,2249,1676,2414,4593,1863,1227,2764,2428
"3/18/12",722,1432,1989,1394,1833,3570,1122,1097,2534,2386
"3/25/12",620,1313,1899,1339,1429,3022,769,907,2344,2591
"4/1/12",696,1341,1961,1183,1328,2665,615,804,2013,2373
"4/8/12",806,1430,2019,1134,1398,2623,667,757,1863,2412
"4/15/12",782,1419,2052,1131,1377,2675,628,730,1808,2155
"4/22/12",641,1297,1987,1197,1398,2801,648,672,1727,1829
"4/29/12",628,1368,1954,1139,1320,2430,556,634,1556,1785
"5/6/12",690,1414,1943,1157,1227,2321,578,544,1559,1759
"5/13/12",649,1315,1859,1181,1203,2376,541,539,1564,1596
"5/20/12",598,1157,1754,1195,1092,2284,493,492,1484,1468
"5/27/12",463,1008,1606,1103,985,2153,448,490,1480,1326
"6/3/12",483,893,1553,1025,921,2011,467,421,1305,1117
"6/10/12",439,892,1494,956,872,1863,438,383,1245,1102
"6/17/12",410,819,1343,832,755,1705,383,351,1073,1016
"6/24/12",318,703,1165,712,609,1446,320,274,887,796
"7/1/12",280,657,1159,623,596,1348,336,286,842,680
"7/8/12",294,670,1178,647,625,1435,354,291,861,657
"7/15/12",279,627,1138,604,588,1369,305,246,869,626
"7/22/12",261,581,1121,588,606,1315,337,262,786,579
"7/29/12",264,600,1131,582,611,1280,340,280,776,587
"8/5/12",279,604,1185,603,661,1325,325,266,761,554
"8/12/12",293,685,1287,672,727,1444,388,315,860,613
"8/19/12",344,747,1353,783,828,1628,486,346,937,710
"8/26/12",364,810,1442,896,890,1820,550,416,1126,696
"9/2/12",428,837,1647,1096,1047,2186,580,483,1260,881
"9/9/12",553,1052,1883,1191,1198,2489,683,497,1355,966
"9/16/12",732,1357,2086,1297,1365,2837,693,528,1535,1164
"9/23/12",926,1626,2357,1415,1513,2928,774,563,1579,1405
"9/30/12",992,1720,2481,1512,1614,3108,863,656,1667,1493
"10/7/12",1056,1971,2709,1693,1922,3364,914,737,1864,1718
"10/14/12",1030,1897,2764,1766,1965,3534,958,774,2090,1756
"10/21/12",988,1787,2658,1815,1895,3389,1003,775,2125,1754
"10/28/12",809,1287,2273,2102,1975,4090,1215,956,2336,2019
"11/4/12",999,1558,2559,2305,1895,4357,1295,979,2341,1977
"11/11/12",1183,1846,2796,2880,2226,5125,1482,1233,2785,2303
"11/18/12",1201,1924,2782,3269,2324,5604,1550,1245,2623,2292
"11/25/12",1498,2599,3211,4115,2868,6247,1887,1438,3030,2795
"12/2/12",1983,3494,3929,5800,3569,7203,2185,1740,3031,2924
"12/9/12",2656,4331,4678,6970,4363,7850,2510,2036,2980,3155
"12/16/12",3797,5738,6000,7946,5974,10337,3365,2657,3332,3404
"12/23/12",5758,8021,7757,8246,8270,13166,4490,3963,4560,4642
"12/30/12",6675,9393,8600,7719,9179,14257,5012,4854,5923,5654
"1/6/13",12461,11468,10074,9060,10544,16797,6404,6660,7665,7208
"1/13/13",14211,12969,10769,8722,10262,17808,6850,7698,10514,10629
"1/20/13",7412,10135,8498,6387,8087,15137,5367,5678,14864,11703
"1/27/13",4763,6869,6539,5132,6053,10783,4262,4068,12233,9384
"2/3/13",3134,5050,5285,4237,4643,8023,3349,3282,8671,6670
"2/10/13",2120,3996,4746,3655,3881,6199,2617,2341,6122,5060
"2/17/13",1905,3677,4561,3512,3630,5609,2188,2086,5440,4391
"2/24/13",1672,3163,4218,3231,3279,4950,1763,1639,4629,3557
"3/3/13",1423,2938,4011,3237,2944,4647,1543,1365,3939,2859
"3/10/13",1343,2781,3784,3066,2697,4274,1372,1231,3190,2556
"3/17/13",1297,2485,3384,2717,2432,3753,1205,1032,2591,2210
"3/24/13",1357,2280,3138,2467,2261,3308,1075,944,2291,1977
"3/31/13",1305,2012,2977,2287,2087,3121,982,828,2015,1832
"4/7/13",1125,1667,2469,1742,1777,2870,824,770,1828,1638
"4/14/13",807,1270,1993,1300,1394,2539,700,669,1660,1505
"4/21/13",694,1229,1932,1194,1332,2513,736,664,1605,1503
"4/28/13",584,1100,1819,1091,1149,2286,635,585,1510,1320
"5/5/13",491,1014,1730,1037,1052,2170,584,543,1422,1131
"5/12/13",439,892,1584,917,970,1917,531,451,1184,1070
"5/19/13",392,781,1405,841,849,1638,458,395,1129,1016
"5/26/13",412,822,1410,767,822,1593,440,419,1113,1014
"6/2/13",369,712,1340,701,798,1461,420,352,1016,965
"6/9/13",371,699,1260,672,749,1448,389,345,999,802
"6/16/13",357,691,1229,645,719,1356,388,323,995,866
"6/23/13",316,641,1183,619,671,1382,383,317,1009,790
"6/30/13",315,614,1139,607,719,1320,409,273,829,650
"7/7/13",300,648,1166,634,722,1309,372,292,870,676
"7/14/13",303,590,1162,616,677,1261,373,283,808,635
"7/21/13",330,649,1218,658,732,1297,387,321,886,652
"7/28/13",362,580,1038,656,568,1256,385,354,1052,629
"8/4/13",366,677,1068,676,623,1286,442,307,1052,544
"8/11/13",317,654,1132,720,623,1292,474,399,1145,564
"8/18/13",381,678,1060,788,702,1282,408,391,1134,667
"8/25/13",343,684,1188,849,729,1356,431,417,1211,661
"9/1/13",354,783,1361,969,815,1610,609,500,1256,731
"9/8/13",450,812,1375,1031,818,1721,663,498,1321,725
"9/15/13",567,1032,1500,982,939,1870,778,589,1408,889
"9/22/13",582,1175,1503,1104,1008,2176,736,546,1542,1009
"9/29/13",627,1201,1565,1124,968,1986,959,504,1525,1214
"10/6/13",562,1041,1506,1261,1038,2193,817,731,1560,1146
"10/13/13",580,1063,1537,1252,1006,2032,683,620,1490,1107
"10/20/13",579,1093,1688,1311,1101,2307,782,612,1619,1164
"10/27/13",529,1053,1727,1396,1044,2450,805,633,1641,1124
"11/3/13",654,1077,1644,1499,1161,2438,935,664,1778,1142
"11/10/13",680,1098,1711,1616,1163,2782,926,720,1862,1103
"11/17/13",669,1132,1718,1759,1170,3003,961,745,1662,1106
"11/24/13",604,1099,1686,1893,1254,3145,861,914,1756,1169
"12/1/13",753,1314,2021,2337,1465,3869,1183,1071,1885,1556
"12/8/13",741,1366,1910,2457,1617,4615,1476,1363,2191,1803
"12/15/13",897,1830,2415,4006,2423,7740,2308,2116,2961,2630
"12/22/13",1512,2954,3311,5178,3785,10071,4014,3189,4262,4489
"12/29/13",1918,3349,3872,4901,4337,9537,4682,3419,5530,5203
"1/5/14",2114,3471,4063,3947,3557,9119,4123,2953,6121,5514
"1/12/14",2294,3748,4265,3733,3310,7934,3932,2529,5838,4578
"1/19/14",1896,3329,3918,3346,3170,6747,3178,1898,5510,3699
"1/26/14",1967,3239,3489,2987,2340,5381,2580,1577,4711,3096
"2/2/14",1811,2875,3230,2361,2137,4254,1975,1319,3728,2305
"2/9/14",1683,2364,2899,1896,1849,3627,1510,1173,3079,2058
"2/16/14",1281,2066,2672,1700,1760,3604,1414,984,2589,1725
"2/23/14",1133,1691,2341,1695,1603,2889,1318,959,2115,1528
"3/2/14",1127,1856,2252,1550,1456,2713,1021,807,1923,1377
"3/9/14",1111,1814,2095,1331,1387,2821,880,778,1837,1174
"3/16/14",1024,2086,2005,1383,1273,2628,808,918,1710,1118
"3/23/14",1202,2459,2076,1321,1213,2554,808,780,1709,1172
"3/30/14",1182,2558,2105,1289,1287,2485,766,668,1673,1089
"4/6/14",1289,2496,2018,1226,1272,2397,784,662,1820,1217
"4/13/14",1224,2162,1949,1061,1124,2249,659,660,1690,1156
"4/20/14",1102,1527,1809,1149,1137,2456,588,616,1634,1026
"4/27/14",812,1392,1773,1125,1011,2154,498,668,1706,1151
"5/4/14",700,1243,1887,1054,1024,2093,592,557,1640,1087
"5/11/14",588,1130,1830,1028,946,1991,543,716,1619,1001
"5/18/14",480,1088,1622,1042,919,2047,474,771,1563,750
"5/25/14",400,1048,1675,961,909,1928,600,822,1792,897
"6/1/14",491,895,1439,928,731,1738,575,544,1536,812
"6/8/14",377,824,1336,865,711,1658,440,610,1431,776
"6/15/14",530,955,1302,747,762,1504,402,418,1408,696
"6/22/14",404,719,1304,724,668,1412,440,438,1402,678
"6/29/14",381,740,1210,776,659,1499,545,454,1314,697
"7/6/14",377,767,1232,764,723,1704,403,481,1350,751
